Subj,Trial,OptionID,Choice,MFval,MBval,Choice2
9,5,2,1,0,14,0
9,5,3,0,0,11,0
9,5,4,0,0,6,0
9,5,5,0,1,2,0
9,5,6,0,0,10,0
9,5,7,0,1,4,0
9,5,8,0,1,12,0
9,5,9,0,1,1,0
9,5,10,0,1,3,0
9,5,11,0,0,5,0
9,5,12,0,0,13,0
9,5,13,0,1,7,0
9,5,14,0,0,8,0
9,6,1,0,1,11,6
9,6,2,0,0,7,0
9,6,3,0,0,8,0
9,6,4,0,0,10,0
9,6,5,0,1,3,0
9,6,6,1,0,9,0
9,6,7,0,1,14,0
9,6,8,0,1,12,0
9,6,9,0,1,1,0
9,6,10,0,1,6,0
9,6,11,0,0,2,0
9,6,12,0,0,5,0
9,6,13,0,1,13,0
9,6,14,0,0,4,0
9,7,1,0,1,3,4
9,7,2,0,0,2,0
9,7,3,0,0,9,0
9,7,4,1,0,14,0
